wordID,docIDs,frequencies,hitlists
218,6,1,"0, 1134"
219,6;10,1;1,"0, 1136;0, 282"
220,6;16,1;1,"0, 1187;0, 114"
221,6;9;14;19,1;2;1;5,"0, 1192;0, 501|0, 962;0, 281;0, 331|0, 627|0, 1668|0, 1746|0, 2140"
222,6;9,2;1,"0, 1220|0, 1412;0, 369"
223,6;15,1;1,"0, 1223;0, 555"
224,6;16,1;1,"0, 1230;0, 972"
225,6;7;8;10;19,1;1;1;1;6,"0, 1236;0, 455;0, 1279;0, 797;0, 1086|0, 1153|0, 1233|0, 2000|0, 2057|0, 2096"
226,6,1,"0, 1248"
227,6,1,"0, 1258"
228,6;7;8;10;12;18,1;1;1;1;1;2,"0, 1268;0, 1343;0, 121;0, 827;0, 234;0, 229|0, 506"
229,6;19,1;1,"0, 1274;0, 2151"
230,6,1,"0, 1285"
231,6,1,"0, 1286"
232,6;10;11;19,1;1;1;1,"0, 1289;0, 727;0, 1182;0, 1368"
233,6;19,1;1,"0, 1305;0, 994"
234,6,1,"0, 1311"
235,6;8,1;2,"0, 1335;0, 468|0, 877"
236,6;7,1;1,"0, 1339;0, 1293"
237,6,1,"0, 1347"
238,6,1,"0, 1355"
239,6,1,"0, 1358"
240,6;16,1;2,"0, 1360;0, 458|0, 468"
241,6;10,4;1,"0, 1365|0, 1373|0, 1422|0, 1434;0, 1010"
242,6;7;11;13;19,1;1;1;1;1,"0, 1369;0, 837;0, 144;0, 1077;0, 257"
243,6;15;16;19,1;1;4;2,"0, 1379;0, 369;0, 34|0, 355|0, 619|0, 1529;0, 1603|0, 1606"
244,6;8;9;10;12;18;19,1;2;1;1;2;1;2,"0, 1383;0, 1100|0, 1299;0, 864;0, 248;0, 242|0, 341;0, 561;0, 1020|0, 1094"
245,6;7,1;1,"0, 1407;0, 854"
246,6,1,"0, 1421"
247,6,1,"0, 1437"
248,6,1,"0, 1438"
249,6,1,"0, 1452"
250,6;9;10;19,2;1;2;1,"0, 1454|2, 10;0, 80;0, 871|2, 11;2, 1"
251,6,1,"0, 1460"
252,6;19,1;1,"0, 1472;0, 883"
253,6;8,1;1,"0, 1473;0, 11"
254,6,1,"0, 1476"
255,6,1,"0, 1477"
256,6;7;16;19,1;1;3;1,"0, 1504;0, 293;0, 872|0, 1070|0, 1138;0, 1882"
257,6;10;16,1;1;1,"2, 4;2, 1;2, 10"
